id,level,thai,roman,hebrew,english,tone,source,cleaned,syllables,detector_tones,new_tone,method
apkg_001,4,แต่เช้า,dtae-chao,לפנות בוקר / מוקדם בבוקר,early morning / at dawn,not_drilled,apkg_almog5,แต่เช้า,แต่|เช้า,l|h,low-high,word_tokenize_then_detector_consensus
apkg_002,4,ตอนเช้า,dton-chao,בבוקר,in the morning,not_drilled,apkg_almog5,ตอนเช้า,ตอน|เช้า,m|h,mid-high,word_tokenize_then_detector_consensus
apkg_003,4,ตอนสาย,dton-saai,מאוחר בבוקר,late morning,not_drilled,apkg_almog5,ตอนสาย,ตอน|สาย,m|r,mid-rising,word_tokenize_then_detector_consensus
apkg_004,4,ตอนเที่ยง,dton-tieng,בצהריים,at noon,not_drilled,apkg_almog5,ตอนเที่ยง,ตอน|เที่ยง,m|f,mid-falling,word_tokenize_then_detector_consensus
apkg_005,4,ตอนบ่าย,dton-baai,אחר הצהריים,in the afternoon,not_drilled,apkg_almog5,ตอนบ่าย,ตอน|บ่าย,m|l,mid-low,word_tokenize_then_detector_consensus
apkg_006,4,ตอนเย็น,dton-yen,בערב,in the evening,not_drilled,apkg_almog5,ตอนเย็น,ตอน|เย็น,m|m,mid-mid,word_tokenize_then_detector_consensus
apkg_007,4,ตอนเที่ยงคืน,dton-tiang-kheun,בחצות / בלילה,at midnight,not_drilled,apkg_almog5,ตอนเที่ยงคืน,ตอน|เที่ยง|คืน,m|f|m,mid-falling-mid,word_tokenize_then_detector_consensus
apkg_008,4,ตอนดึก,dton-deug,מאוחר בלילה,late at night,not_drilled,apkg_almog5,ตอนดึก,ตอน|ดึก,m|l,mid-low,word_tokenize_then_detector_consensus
apkg_009,4,เห็นด้วย,hen duai,להסכים / מסכים,to agree / agree,not_drilled,apkg_almog5,เห็นด้วย,เห็น|ด้วย,r|f,rising-falling,word_tokenize_then_detector_consensus
apkg_010,4,เห็นไหม,hen mai,רואה? / אתה רואה?,Do you see?,not_drilled,apkg_almog5,เห็นไหม,เห็น|ไหม,r|r,rising-rising,word_tokenize_then_detector_consensus
apkg_011,4,เห็นด้วยไหม,hen duai mai,האם אתה מסכים?,Do you agree?,not_drilled,apkg_almog5,เห็นด้วยไหม,เห็น|ด้วย|ไหม,r|f|r,rising-falling-rising,word_tokenize_then_detector_consensus
apkg_012,4,ยืน,yuen,לעמוד,to stand,not_drilled,apkg_almog5,ยืน,ยืน,m,mid,word_tokenize_then_detector_consensus
apkg_013,4,นั่ง,nung / nang,לשבת,to sit,not_drilled,apkg_almog5,นั่ง,นั่ง,f,falling,word_tokenize_then_detector_consensus
apkg_014,4,เดิน,doen,ללכת / לצעוד,to walk,not_drilled,apkg_almog5,เดิน,เดิน,m,mid,word_tokenize_then_detector_consensus
apkg_015,4,วิ่ง,wing,לרוץ,to run,not_drilled,apkg_almog5,วิ่ง,วิ่ง,f,falling,word_tokenize_then_detector_consensus
apkg_016,4,ข้าม,khaam,לדלג / לחצות,to skip / to cross,not_drilled,apkg_almog5,ข้าม,ข้าม,f,falling,word_tokenize_then_detector_consensus
apkg_017,5,ไม่ไหว,mai wai,לא יכול / לא מסוגל / לא עומד בזה,cannot / cannot handle it,not_drilled,apkg_almog5,ไม่ไหว,ไม่|หวัย,f|r,falling-rising,word_tokenize_then_detector_consensus
apkg_018,5,ไม่ต้องห่วง,mai dtong huang,אל תדאג / אין מה לדאוג,do not worry,not_drilled,apkg_almog5,ไม่ต้องห่วง,ไม่|ต้อง|หว่ง,f|f|l,falling-falling-low,word_tokenize_then_detector_consensus
apkg_019,5,ไม่สนใจ,mai son jai,לא מעוניין / לא אכפת,not interested / do not care,not_drilled,apkg_almog5,ไม่สนใจ,ไม่|สน|ใจ,f|r|m,falling-rising-mid,word_tokenize_then_detector_consensus
apkg_020,5,ไม่มีอะไร,mai mee a-rai,אין כלום,there is nothing / nothing,not_drilled,apkg_almog5,ไม่มีอะไร,ไม่|มี|อะ|ไร,f|m|l|m,falling-mid-low-mid,word_tokenize_then_detector_consensus
apkg_021,5,ไม่ต้อง,mai dtong,לא צריך / אין צורך,do not need to,not_drilled,apkg_almog5,ไม่ต้อง,ไม่|ต้อง,f|f,falling-falling,word_tokenize_then_detector_consensus
apkg_022,5,ไม่มีปัญหา,mai mee pan-haa,אין בעיה,no problem,not_drilled,apkg_almog5,ไม่มีปัญหา,ไม่|มี|ปัน|หา,f|m|m|r,falling-mid-mid-rising,word_tokenize_then_detector_consensus
apkg_023,5,ไม่มีทาง,mai mee taang,אין מצב / אין סיכוי,no way / impossible,not_drilled,apkg_almog5,ไม่มีทาง,ไม่|มี|ทาง,f|m|m,falling-mid-mid,word_tokenize_then_detector_consensus
apkg_024,5,ว่าไง,waa ngai,מה קורה? / מה נשמע?,What’s up?,not_drilled,apkg_almog5,ว่าไง,ว่า|ไง,f|m,falling-mid,word_tokenize_then_detector_consensus
apkg_025,5,ไม่เก็ทอะ,mai get a,אני לא מבין / לא קולט,I do not get it,not_drilled,apkg_almog5,ไม่เก็ทอะ,ไม่|เก็ด|อะ,f|l|l,falling-low-low,word_tokenize_then_detector_consensus
apkg_026,5,แล้วไง,laew ngai,אז מה?,so what?,not_drilled,apkg_almog5,แล้วไง,แล้ว|ไง,h|m,high-mid,word_tokenize_then_detector_consensus
apkg_027,5,คิดว่า,khit waa,לחשוב ש...,to think that...,not_drilled,apkg_almog5,คิดว่า,คิด|ว่า,h|f,high-falling,word_tokenize_then_detector_consensus
apkg_028,5,พูดว่า,phuut waa,לומר ש...,to say that...,not_drilled,apkg_almog5,พูดว่า,พูด|ว่า,f|f,falling-falling,word_tokenize_then_detector_consensus
apkg_029,5,บอกว่า,bok waa,לספר / להגיד ש...,to tell / say that...,not_drilled,apkg_almog5,บอกว่า,,,low-falling,manual_review_exception
apkg_030,5,รู้สึกว่า,ruu seuk waa,להרגיש ש...,to feel that...,not_drilled,apkg_almog5,รู้สึกว่า,รู้|สึก|ว่า,h|l|f,high-low-falling,word_tokenize_then_detector_consensus
apkg_031,5,เพราะว่า,phroh waa,בגלל ש... / כי,because,not_drilled,apkg_almog5,เพราะว่า,เพฺราะ|ว่า,h|f,high-falling,word_tokenize_then_detector_consensus
apkg_032,5,ได้ยินว่า,daai yin waa,לשמוע ש...,to hear that...,not_drilled,apkg_almog5,ได้ยินว่า,ด้าย|ยิน|ว่า,f|m|f,falling-mid-falling,word_tokenize_then_detector_consensus
uv19_0034,5,สบายดีไหม,sa-baai dii mai?,מה שלומך?,How are you?,not_drilled,"תומר 1,csv.txt",สบายดีไหม,สะ|บาย|ดี|ไหม,l|m|m|r,low-mid-mid-rising,word_tokenize_then_detector_consensus
uv19_0035,4,สบายดี,sa-baai dii,הכל טוב / בסדר,I am fine / okay,not_drilled,"תומר 1,csv.txt",สบายดี,สะ|บาย|ดี,l|m|m,low-mid-mid,word_tokenize_then_detector_consensus
uv19_0036,4,ไม่สบาย,mai sa-baai,לא מרגיש טוב,not feeling well,not_drilled,"תומר 1,csv.txt",ไม่สบาย,ไม่|สะ|บาย,f|l|m,falling-low-mid,word_tokenize_then_detector_consensus
uv19_0051,5,คุณรักผม/ฉันไหม,khun rak phom/chan mai?,אתה אוהב אותי?,Do you love me?,not_drilled,"תומר 2,csv.txt",คุณรักผม ฉันไหม,,,mid-high-rising-rising-rising,manual_review_exception
uv19_0081,3,ที่นี่,tii-nii,פה,here,not_drilled,"תומר 3,csv.txt",ที่นี่,ที่|นี่,f|f,falling-falling,word_tokenize_then_detector_consensus
uv19_0082,3,ภาษา,paa-saa,שפה,language,not_drilled,"תומר 3,csv.txt",ภาษา,พา|สา,m|r,mid-rising,word_tokenize_then_detector_consensus
uv19_0083,3,ประเทศ,bpra-ted,מדינה,country,not_drilled,"תומר 3,csv.txt",ประเทศ,ประ|เทด,l|f,low-falling,word_tokenize_then_detector_consensus
uv19_0084,3,ทุกคน,tuk-kon,כולם,everyone,not_drilled,"תומר 3,csv.txt",ทุกคน,ทุก|คน,h|m,high-mid,word_tokenize_then_detector_consensus
uv19_0085,3,อย่ารอ,yaa ror,אל תחכה,do not wait,not_drilled,"תומר 3,csv.txt",อย่ารอ,หฺย่า|รอ,l|m,low-mid,word_tokenize_then_detector_consensus
uv19_0086,5,พอไหม,phaw mai?,זה מספיק?,Is it enough?,not_drilled,"תומר 3,csv.txt",พอไหม,พอ|ไหม,f|r,falling-rising,word_tokenize_then_detector_consensus
uv19_0087,5,ไปไหน,bpai nai?,לאן אתה הולך?,Where are you going?,not_drilled,"תומר 3,csv.txt",ไปไหน,ไป|ใหน,m|r,mid-rising,word_tokenize_then_detector_consensus
uv19_0088,3,ทบทวน,tobp-tuan,לחזור (על חומר),review,not_drilled,"תומר 3,csv.txt",ทบทวน,ทบ|ทวน,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0089,1,พี่,pii,אח/אחות מבוגר/ת,older sibling / senior,not_drilled,"תומר 3,csv.txt",พี่,พี่,f,falling,word_tokenize_then_detector_consensus
uv19_0090,1,ลืม,leuum,לשכוח,forget,not_drilled,"תומר 3,csv.txt",ลืม,ลืม,m,mid,word_tokenize_then_detector_consensus
uv19_0091,1,และ,laeh,ו...,and,not_drilled,"תומר 3,csv.txt",และ,และ,h,high,word_tokenize_then_detector_consensus
uv19_0092,5,คุณพูดภาษาอะไร,kun puud paasaa a-rai?,איזו שפה אתה מדבר?,What language do you speak?,not_drilled,"תומר 3,csv.txt",คุณพูดภาษาอะไร,,,mid-falling-mid-rising-low-mid,manual_review_exception
uv19_0093,1,เสร็จ,sed,לסיים,finish / done,not_drilled,"תומר 3,csv.txt",เสร็จ,เส็ด,l,low,word_tokenize_then_detector_consensus
uv19_0094,1,เย็น,yen,קר,cold / evening,not_drilled,"תומר 3,csv.txt",เย็น,เย็น,m,mid,word_tokenize_then_detector_consensus
uv19_0095,5,คุณมาจาก…,kun maa jaag (place),מאיפה אתה?,Where are you from?,not_drilled,"תומר 3,csv.txt",คุณมาจาก,คุน|มา|จาก,m|m|l,mid-mid-low,word_tokenize_then_detector_consensus
uv19_0096,1,จาก,jaag,מ... (מקור),from,not_drilled,"תומר 3,csv.txt",จาก,จาก,l,low,word_tokenize_then_detector_consensus
uv19_0097,4,ไหน/ที่ไหน,nai/tii nai,איפה,where,not_drilled,"תומר 3,csv.txt",ไหน ที่ไหน,,,rising-falling-rising,manual_review_exception
uv19_0098,3,ห้องครัว,hong krua,מטבח,kitchen,not_drilled,"תומר 3,csv.txt",ห้องครัว,ข้อง|คฺรัว,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0099,1,ใจ,jaai,לב,heart / mind,not_drilled,"תומר 3,csv.txt",ใจ,ใจ,m,mid,word_tokenize_then_detector_consensus
uv19_0100,3,ใจดี,jaai dii,לב טוב,kind,not_drilled,"תומר 3,csv.txt",ใจดี,ใจ|ดี,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0101,5,ทำไม,tam-mai?,למה?,why?,not_drilled,"תומר 3,csv.txt",ทำไม,ทำ|ไม,m|m,mid-mid,word_tokenize_then_detector_consensus
uv19_0102,1,มาก,maag,מאוד,very / much,not_drilled,"תומר 3,csv.txt",มาก,มาก,f,falling,word_tokenize_then_detector_consensus
uv19_0103,1,สอน,sawn,ללמד,teach,not_drilled,"תומר 3,csv.txt",สอน,สอน,r,rising,word_tokenize_then_detector_consensus
uv19_0104,1,แพง,peang,יקר,expensive,not_drilled,"תומר 3,csv.txt",แพง,แพง,m,mid,word_tokenize_then_detector_consensus
uv19_0105,3,ทุกอย่าง,tug-yaang,הכל,everything,not_drilled,"תומר 3,csv.txt",ทุกอย่าง,ทุก|หฺย่าง,h|l,high-low,word_tokenize_then_detector_consensus
uv19_0106,1,แต่,dtae,אבל,but,not_drilled,"תומר 3,csv.txt",แต่,แต่,l,low,word_tokenize_then_detector_consensus
uv19_0107,1,ตก,tok,ליפול,fall,not_drilled,"תומר 3,csv.txt",ตก,ตก,l,low,word_tokenize_then_detector_consensus
uv19_0108,3,น้ำตก,nam-tok,מפל,waterfall,not_drilled,"תומר 3,csv.txt",น้ำตก,น้าม|ตก,h|l,high-low,word_tokenize_then_detector_consensus
uv19_0109,1,คิด,kid,לחשוב,think,not_drilled,"תומר 3,csv.txt",คิด,คิด,h,high,word_tokenize_then_detector_consensus
uv19_0110,5,คุณคิดอะไร,kun kid a-rai?,על מה אתה חושב?,What are you thinking?,not_drilled,"תומר 3,csv.txt",คุณคิดอะไร,คุน|คิด|อะ|ไร,m|h|l|m,mid-high-low-mid,word_tokenize_then_detector_consensus
uv19_0111,1,ช่วย,chuai,לעזור,help,not_drilled,"תומר 3,csv.txt",ช่วย,ช่วย,f,falling,word_tokenize_then_detector_consensus
uv19_0112,1,ต่อ,dtaw,להמשיך / להאריך,continue / extend,not_drilled,"תומר 3,csv.txt",ต่อ,ต่อ,l,low,word_tokenize_then_detector_consensus
uv19_0113,1,หา,haa,לחפש / למצוא,look for / find,not_drilled,"תומר 3,csv.txt",หา,หา,r,rising,word_tokenize_then_detector_consensus
uv19_0115,1,หมอ,maws,רופא,doctor,not_drilled,"תומר 3,csv.txt",หมอ,หมอ,r,rising,word_tokenize_then_detector_consensus
uv19_0116,1,บวก,buag,פלוס,plus,not_drilled,"תומר 3,csv.txt",บวก,บวก,l,low,word_tokenize_then_detector_consensus
uv19_0117,1,ลบ,löb,מינוס,minus,not_drilled,"תומר 3,csv.txt",ลบ,ลบ,f,falling,word_tokenize_then_detector_consensus
uv19_0118,3,เท่ากับ,ta-gab,שווה,equals,not_drilled,"תומר 3,csv.txt",เท่ากับ,เท่า|กับ,f|l,falling-low,word_tokenize_then_detector_consensus
uv19_0119,3,เท่า,tao,שווה / באותה מידה,equal / as much as,not_drilled,"תומר 3,csv.txt",เท่า,เท่า,f,falling,word_tokenize_then_detector_consensus
uv19_0120,3,เท่าไร,tao-rai,כמה (מחיר),how much?,not_drilled,"תומר 3,csv.txt",เท่าไร,เท่า|ไร,f|m,falling-mid,word_tokenize_then_detector_consensus
uv19_0121,4,แล้วแต่คุณ,laew-dtua kun,תלוי בך,up to you,not_drilled,"תומר4,csv.txt",แล้วแต่คุณ,แล้ว|แต่|คุน,h|l|m,high-low-mid,word_tokenize_then_detector_consensus
uv19_0122,5,กี่โมง,gii mong?,איזו שעה?,what time?,not_drilled,"תומר4,csv.txt",กี่โมง,กี่|โมง,l|m,low-mid,word_tokenize_then_detector_consensus
uv19_0123,3,ตอนนี้,dtua-ni,עכשיו,now,not_drilled,"תומר4,csv.txt",ตอนนี้,ตอน|นี้,m|h,mid-high,word_tokenize_then_detector_consensus
uv19_0124,3,วันนี้,wan-nii,היום,today,not_drilled,"תומר4,csv.txt",วันนี้,วัน|นี้,m|h,mid-high,word_tokenize_then_detector_consensus
