id,thai,transliteration,he,english,confidence,source_file,original_front,original_back,note
vocab_0034,,sa-baai¹ dii¹ mai¹?,מה שלומך?,,needs_review_no_script,"תומר 1,csv.txt",sa-baai¹ dii¹ mai¹?,מה שלומך?,
vocab_0035,,sa-baai¹ dii¹,הכל טוב / בסדר,,needs_review_no_script,"תומר 1,csv.txt",sa-baai¹ dii¹,הכל טוב / בסדר,
vocab_0036,,mai³ sa-baai¹,לא מרגיש טוב,,needs_review_no_script,"תומר 1,csv.txt",mai³ sa-baai¹,לא מרגיש טוב,
vocab_0180,,tuk-yaang,הכל,,needs_review_no_script,"תומר 5,csv.txt",tuk-yaang,הכל,
vocab_0192,,yin-dee-tii-dai-ruu-jag,נעים להכיר,,needs_review_no_script,"תומר 5,csv.txt",yin-dee-tii-dai-ruu-jag,נעים להכיר,
vocab_0214,แตงโม,dtaeng-mo,אבטיח,needs English review,original_thai_from_file_needs_english,"תומר 6,csv.txt",แตงโม (dtaeng-mo),אבטיח,
vocab_0231,,jak-kra-yaan,אופניים,,needs_review_no_script,"תומר 6,csv.txt",jak-kra-yaan,אופניים,
vocab_0285,,dtun²-dten³,מתרגש,,needs_review_no_script,"תומר 8,csv.txt",dtun²-dten³,מתרגש,
vocab_0328,,bpla-meuk(1-2),דיונון,,needs_review_no_script,"אלמוג 1,CSV.txt",bpla-meuk(1-2),דיונון,
vocab_0340,,dtae-chao,לפנות בוקר / מוקדם בבוקר,,needs_review_no_script,אלמוג 5(2).apkg,dtae-chao,לפנות בוקר / מוקדם בבוקר,
vocab_0341,,dton-chao,בבוקר,,needs_review_no_script,אלמוג 5(2).apkg,dton-chao,בבוקר,
vocab_0342,,dton-saai,מאוחר בבוקר,,needs_review_no_script,אלמוג 5(2).apkg,dton-saai,מאוחר בבוקר,
vocab_0343,,dton-tieng,בצהריים,,needs_review_no_script,אלמוג 5(2).apkg,dton-tieng,בצהריים,
vocab_0344,,dton-baai,אחר הצהריים,,needs_review_no_script,אלמוג 5(2).apkg,dton-baai,אחר הצהריים,
vocab_0345,,dton-yen,בערב,,needs_review_no_script,אלמוג 5(2).apkg,dton-yen,בערב,
vocab_0346,,dton-tiang-kheun,בלילה,,needs_review_no_script,אלמוג 5(2).apkg,dton-tiang-kheun,בלילה,
vocab_0347,,dton-deug,מאוחר בלילה,,needs_review_no_script,אלמוג 5(2).apkg,dton-deug,מאוחר בלילה,
vocab_0348,,Hen Dubai,להסכים,,needs_review_no_script,אלמוג 5(2).apkg,להסכים,Hen Dubai,
vocab_0349,,Hen mai?,רואה?,,needs_review_no_script,אלמוג 5(2).apkg,רואה?,Hen mai?,
vocab_0350,,Hen duai mai,האם מסכים,,needs_review_no_script,אלמוג 5(2).apkg,האם מסכים,Hen duai mai,
vocab_0355,ไม่ไหว,mai wai,לא יכול / לא מסוגל / לא עומד בזה,needs English review,original_thai_from_file_needs_english,אלמוג 5(2).apkg,ไม่ไหว mai wai,לא יכול / לא מסוגל / לא עומד בזה,
vocab_0358,ไม่มีอะไร,mai mee a-rai,אין כלום,needs English review,original_thai_from_file_needs_english,אלמוג 5(2).apkg,ไม่มีอะไร mai mee a-rai,אין כלום,
vocab_0360,ไม่มีปัญหา,mai mee pan-haa,אין בעיה,needs English review,original_thai_from_file_needs_english,אלמוג 5(2).apkg,ไม่มีปัญหา mai mee pan-haa,אין בעיה,
vocab_0366,พูดว่า,phûut wâa,לומר ש...,needs English review,original_thai_from_file_needs_english,אלמוג 5(2).apkg,พูดว่า (phûut wâa),לומר ש...,
vocab_0370,ได้ยินว่า,dâai yin wâa,לשמוע ש...,needs English review,original_thai_from_file_needs_english,אלמוג 5(2).apkg,ได้ยินว่า (dâai yin wâa),לשמוע ש...,
vocab_0371,,ton mai,צמח עציץ,,needs_review_no_script,אלמוג 4(1).apkg,ton mai,צמח עציץ,
vocab_0380,,dton pom deg deg,כשהייתי ילד,,needs_review_no_script,אלמוג 4(1).apkg,כשהייתי ילד,dton pom deg deg,
vocab_0385,ิ่,נחמד לראותך,dii jai tii dai jer,needs English review,original_thai_from_file_needs_english,אלמוג 4(1).apkg,ิ่נחמד לראותך,dii jai tii dai jer,
vocab_0387,,dtoy,"אגרוף ,עקיצה",,needs_review_no_script,אלמוג 4(1).apkg,"אגרוף ,עקיצה",dtoy,
