id,thai,transliteration,normalized_transliteration,he,english,confidence,suggested_level,active_for_questions,source_file,sources,original_front,original_back,note
vocab_0001,สำคัญ,sam¹-kan¹,sam-kan,חשוב,important,medium_normalized_match,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",sam¹-kan¹,חשוב,
vocab_0002,ขนม,kha-num¹,kha-num,חטיף,snack,medium_normalized_match,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",kha-num¹,חטיף,
vocab_0003,หวี,wii¹,wii,אשכול בננות,banana bunch / comb (review context),high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",wii¹,אשכול בננות,
vocab_0004,มาครับ,ma¹-krap,ma-krap,אני כאן,I am here (male polite),medium_normalized_match,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",ma¹-krap,אני כאן,
vocab_0005,ไหว้,waai³,waai,לחלוק כבוד,wai greeting / pay respect,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",waai³,לחלוק כבוד,מחווה של הצמדת ידיים
vocab_0006,น้ำ,nam¹,nam,מים,water,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",nam¹,מים,
vocab_0007,ปากกา,bpaag²-gaa¹,paag-gaa,עט,pen,medium_normalized_match,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",bpaag²-gaa¹,עט,
vocab_0008,ปาก,bpaag²,paag,פה / מקור,mouth / beak,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",bpaag²,פה / מקור,
vocab_0009,กา,gaa¹,gaa,עורב,crow,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",gaa¹,עורב,
vocab_0010,ว่ายน้ำ,waai³-nam¹,waai-nam,לשחות,swim,medium_normalized_match,3,True,"תומר 1,csv.txt","תומר 1,csv.txt",waai³-nam¹,לשחות,
vocab_0011,ครู,kru¹,kru,מורה,teacher,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",kru¹,מורה,
vocab_0012,คุณชื่ออะไร,kun¹ cheuu³ a-rai¹?,kun cheuu a-rai?,מה השם שלך?,What is your name?,medium_normalized_match,5,True,"תומר 1,csv.txt","תומר 1,csv.txt",kun¹ cheuu³ a-rai¹?,מה השם שלך?,
vocab_0013,ผมชื่อ…,pom⁵ cheuu³ (name),pom cheuu name,השם שלי הוא...,My name is… (male),high,4,True,"תומר 1,csv.txt","תומר 1,csv.txt",pom⁵ cheuu³ (name),השם שלי הוא...,לזכר
vocab_0014,ฉันชื่อ…,chan⁵ cheuu³ (name),chan cheuu name,השם שלי הוא...,My name is… (female),high,4,True,"תומר 1,csv.txt","תומר 1,csv.txt",chan⁵ cheuu³ (name),השם שלי הוא...,לנקבה
vocab_0015,มา,maa¹,maa,לבוא,come,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",maa¹,לבוא,
vocab_0016,ไป,bpai¹,pai,ללכת,go,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",bpai¹,ללכת,
vocab_0017,อยู่,yuu²,yuu,להיות / לגור,be / live / stay,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",yuu²,להיות / לגור,
vocab_0018,ท้อง,thong³,thong,בטן,belly,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",thong³,בטן,
vocab_0019,หิน,hin⁵,hin,אבן,stone,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",hin⁵,אבן,
vocab_0020,กอง,kong¹,kong,ערימה,pile,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",kong¹,ערימה,
vocab_0021,ผมอยู่…,pom⁵ yuu² (place),pom yuu place,אני גר ב...,I live/stay in…,high,4,True,"תומר 1,csv.txt","תומר 1,csv.txt",pom⁵ yuu² (place),אני גר ב...,
vocab_0022,หวาน,waan⁵,waan,מתוק,sweet,high,1,True,"תומר 1,csv.txt","תומר 1,csv.txt",waan⁵,מתוק,
