id,level,thai,roman,hebrew,english,source
apkg_001,4,แต่เช้า,dtae-chao,לפנות בוקר / מוקדם בבוקר,early morning / at dawn,apkg_almog5
apkg_002,4,ตอนเช้า,dton-chao,בבוקר,in the morning,apkg_almog5
apkg_003,4,ตอนสาย,dton-saai,מאוחר בבוקר,late morning,apkg_almog5
apkg_004,4,ตอนเที่ยง,dton-tieng,בצהריים,at noon,apkg_almog5
apkg_005,4,ตอนบ่าย,dton-baai,אחר הצהריים,in the afternoon,apkg_almog5
apkg_006,4,ตอนเย็น,dton-yen,בערב,in the evening,apkg_almog5
apkg_007,4,ตอนเที่ยงคืน,dton-tiang-kheun,בחצות / בלילה,at midnight,apkg_almog5
apkg_008,4,ตอนดึก,dton-deug,מאוחר בלילה,late at night,apkg_almog5
apkg_009,4,เห็นด้วย,hen duai,להסכים / מסכים,to agree / agree,apkg_almog5
apkg_010,4,เห็นไหม,hen mai,רואה? / אתה רואה?,Do you see?,apkg_almog5
apkg_011,4,เห็นด้วยไหม,hen duai mai,האם אתה מסכים?,Do you agree?,apkg_almog5
apkg_012,4,ยืน,yuen,לעמוד,to stand,apkg_almog5
apkg_013,4,นั่ง,nung / nang,לשבת,to sit,apkg_almog5
apkg_014,4,เดิน,doen,ללכת / לצעוד,to walk,apkg_almog5
apkg_015,4,วิ่ง,wing,לרוץ,to run,apkg_almog5
apkg_016,4,ข้าม,khaam,לדלג / לחצות,to skip / to cross,apkg_almog5
apkg_017,5,ไม่ไหว,mai wai,לא יכול / לא מסוגל / לא עומד בזה,cannot / cannot handle it,apkg_almog5
apkg_018,5,ไม่ต้องห่วง,mai dtong huang,אל תדאג / אין מה לדאוג,do not worry,apkg_almog5
apkg_019,5,ไม่สนใจ,mai son jai,לא מעוניין / לא אכפת,not interested / do not care,apkg_almog5
apkg_020,5,ไม่มีอะไร,mai mee a-rai,אין כלום,there is nothing / nothing,apkg_almog5
apkg_021,5,ไม่ต้อง,mai dtong,לא צריך / אין צורך,do not need to,apkg_almog5
