id,level,type,prompt_he,prompt_en,answer_thai,answer_roman,answer_he,answer_en,source_vocab_id
qv19_0001,3,mcq_read_meaning,מה המשמעות של สำคัญ (sam¹-kan¹)?,What does สำคัญ (sam¹-kan¹) mean?,สำคัญ,sam¹-kan¹,חשוב,important,vocab_0001
qv19_0002,3,write_he_to_thai,כתוב בתאית: חשוב — important (sam¹-kan¹),Write in Thai: important — חשוב (sam¹-kan¹),สำคัญ,sam¹-kan¹,חשוב,important,vocab_0001
qv19_0003,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: sam¹-kan¹ — חשוב / important,Write Thai from romanization: sam¹-kan¹ — important / חשוב,สำคัญ,sam¹-kan¹,חשוב,important,vocab_0001
qv19_0004,3,mcq_read_meaning,מה המשמעות של ขนม (kha-num¹)?,What does ขนม (kha-num¹) mean?,ขนม,kha-num¹,חטיף,snack,vocab_0002
qv19_0005,3,write_he_to_thai,כתוב בתאית: חטיף — snack (kha-num¹),Write in Thai: snack — חטיף (kha-num¹),ขนม,kha-num¹,חטיף,snack,vocab_0002
qv19_0006,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: kha-num¹ — חטיף / snack,Write Thai from romanization: kha-num¹ — snack / חטיף,ขนม,kha-num¹,חטיף,snack,vocab_0002
qv19_0007,3,mcq_read_meaning,מה המשמעות של หวี (wii¹)?,What does หวี (wii¹) mean?,หวี,wii¹,אשכול/יחידת בננות; מסרק,banana bunch/classifier; comb,vocab_0003
qv19_0008,3,write_he_to_thai,כתוב בתאית: אשכול/יחידת בננות; מסרק — banana bunch/classifier; comb (wii¹),Write in Thai: banana bunch/classifier; comb — אשכול/יחידת בננות; מסרק (wii¹),หวี,wii¹,אשכול/יחידת בננות; מסרק,banana bunch/classifier; comb,vocab_0003
qv19_0009,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: wii¹ — אשכול/יחידת בננות; מסרק / banana bunch/classifier; comb,Write Thai from romanization: wii¹ — banana bunch/classifier; comb / אשכול/יחידת בננות; מסרק,หวี,wii¹,אשכול/יחידת בננות; מסרק,banana bunch/classifier; comb,vocab_0003
qv19_0010,3,mcq_read_meaning,מה המשמעות של มาครับ (ma¹-krap)?,What does มาครับ (ma¹-krap) mean?,มาครับ,ma¹-krap,באתי / אני בא (זכר מנומס),I came / I am coming (male polite),vocab_0004
qv19_0011,3,write_he_to_thai,כתוב בתאית: באתי / אני בא (זכר מנומס) — I came / I am coming (male polite) (ma¹-krap),Write in Thai: I came / I am coming (male polite) — באתי / אני בא (זכר מנומס) (ma¹-krap),มาครับ,ma¹-krap,באתי / אני בא (זכר מנומס),I came / I am coming (male polite),vocab_0004
qv19_0012,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: ma¹-krap — באתי / אני בא (זכר מנומס) / I came / I am coming (male polite),Write Thai from romanization: ma¹-krap — I came / I am coming (male polite) / באתי / אני בא (זכר מנומס),มาครับ,ma¹-krap,באתי / אני בא (זכר מנומס),I came / I am coming (male polite),vocab_0004
qv19_0013,1,mcq_read_meaning,מה המשמעות של ไหว้ (waai³)?,What does ไหว้ (waai³) mean?,ไหว้,waai³,לחלוק כבוד,wai greeting / pay respect,vocab_0005
qv19_0014,1,write_he_to_thai,כתוב בתאית: לחלוק כבוד — wai greeting / pay respect (waai³),Write in Thai: wai greeting / pay respect — לחלוק כבוד (waai³),ไหว้,waai³,לחלוק כבוד,wai greeting / pay respect,vocab_0005
qv19_0015,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: waai³ — לחלוק כבוד / wai greeting / pay respect,Write Thai from romanization: waai³ — wai greeting / pay respect / לחלוק כבוד,ไหว้,waai³,לחלוק כבוד,wai greeting / pay respect,vocab_0005
qv19_0016,1,mcq_read_meaning,מה המשמעות של น้ำ (nam¹)?,What does น้ำ (nam¹) mean?,น้ำ,nam¹,מים,water,vocab_0006
qv19_0017,1,write_he_to_thai,כתוב בתאית: מים — water (nam¹),Write in Thai: water — מים (nam¹),น้ำ,nam¹,מים,water,vocab_0006
qv19_0018,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: nam¹ — מים / water,Write Thai from romanization: nam¹ — water / מים,น้ำ,nam¹,מים,water,vocab_0006
qv19_0019,3,mcq_read_meaning,מה המשמעות של ปากกา (bpaag²-gaa¹)?,What does ปากกา (bpaag²-gaa¹) mean?,ปากกา,bpaag²-gaa¹,עט,pen,vocab_0007
qv19_0020,3,write_he_to_thai,כתוב בתאית: עט — pen (bpaag²-gaa¹),Write in Thai: pen — עט (bpaag²-gaa¹),ปากกา,bpaag²-gaa¹,עט,pen,vocab_0007
qv19_0021,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: bpaag²-gaa¹ — עט / pen,Write Thai from romanization: bpaag²-gaa¹ — pen / עט,ปากกา,bpaag²-gaa¹,עט,pen,vocab_0007
qv19_0022,1,mcq_read_meaning,מה המשמעות של ปาก (bpaag²)?,What does ปาก (bpaag²) mean?,ปาก,bpaag²,פה / מקור,mouth / beak,vocab_0008
qv19_0023,1,write_he_to_thai,כתוב בתאית: פה / מקור — mouth / beak (bpaag²),Write in Thai: mouth / beak — פה / מקור (bpaag²),ปาก,bpaag²,פה / מקור,mouth / beak,vocab_0008
qv19_0024,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: bpaag² — פה / מקור / mouth / beak,Write Thai from romanization: bpaag² — mouth / beak / פה / מקור,ปาก,bpaag²,פה / מקור,mouth / beak,vocab_0008
qv19_0025,1,mcq_read_meaning,מה המשמעות של กา (gaa¹)?,What does กา (gaa¹) mean?,กา,gaa¹,עורב,crow,vocab_0009
qv19_0026,1,write_he_to_thai,כתוב בתאית: עורב — crow (gaa¹),Write in Thai: crow — עורב (gaa¹),กา,gaa¹,עורב,crow,vocab_0009
qv19_0027,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: gaa¹ — עורב / crow,Write Thai from romanization: gaa¹ — crow / עורב,กา,gaa¹,עורב,crow,vocab_0009
qv19_0028,3,mcq_read_meaning,מה המשמעות של ว่ายน้ำ (waai³-nam¹)?,What does ว่ายน้ำ (waai³-nam¹) mean?,ว่ายน้ำ,waai³-nam¹,לשחות,swim,vocab_0010
qv19_0029,3,write_he_to_thai,כתוב בתאית: לשחות — swim (waai³-nam¹),Write in Thai: swim — לשחות (waai³-nam¹),ว่ายน้ำ,waai³-nam¹,לשחות,swim,vocab_0010
qv19_0030,3,write_roman_to_thai,כתוב בתאית לפי התעתיק: waai³-nam¹ — לשחות / swim,Write Thai from romanization: waai³-nam¹ — swim / לשחות,ว่ายน้ำ,waai³-nam¹,לשחות,swim,vocab_0010
qv19_0031,1,mcq_read_meaning,מה המשמעות של ครู (kru¹)?,What does ครู (kru¹) mean?,ครู,kru¹,מורה,teacher,vocab_0011
qv19_0032,1,write_he_to_thai,כתוב בתאית: מורה — teacher (kru¹),Write in Thai: teacher — מורה (kru¹),ครู,kru¹,מורה,teacher,vocab_0011
qv19_0033,1,write_roman_to_thai,כתוב בתאית לפי התעתיק: kru¹ — מורה / teacher,Write Thai from romanization: kru¹ — teacher / מורה,ครู,kru¹,מורה,teacher,vocab_0011
qv19_0034,5,mcq_read_meaning,מה המשמעות של คุณชื่ออะไร (kun¹ cheuu³ a-rai¹?)?,What does คุณชื่ออะไร (kun¹ cheuu³ a-rai¹?) mean?,คุณชื่ออะไร,kun¹ cheuu³ a-rai¹?,מה השם שלך?,What is your name?,vocab_0012
